Description,Severity,Status,First Seen,Issue age,Type,Weakness,File,Technology,Origin,Remark,Locations
"By not specifying a USER, a program in the container may run as 'root' (CWE-250)",HIGH,RAW,2026-07-27,1,"By not specifying a USER, a program in the container may run as 'root'",CWE-250,backend/dockerfile#L85,Docker,Semgrep,-,backend/dockerfile#L85
"By not specifying a USER, a program in the container may run as 'root' (CWE-250)",HIGH,RAW,2026-07-27,1,"By not specifying a USER, a program in the container may run as 'root'",CWE-250,dockerfile#L32,Docker,Semgrep,-,dockerfile#L32
User controlled data in a HTML string may result in XSS (CWE-79),MEDIUM,FIXED,2026-07-21,7,User controlled data in a HTML string may result in XSS,CWE-79,src/helpers/tableExports/csvExportCore.ts#L29,TypeScript,Semgrep,-,src/helpers/tableExports/csvExportCore.ts#L29
User data flows into the host portion of this manually-constructed HTML (CWE-79),MEDIUM,FIXED,2026-06-05,53,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts#L164,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L164
Untrusted user input in redirect() can result in Open Redirect vulnerability (CWE-601),MEDIUM,FIXED,2026-06-05,53,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts#L35,TypeScript,NodeJS Scan,-,backend/src/routes/auth/authKeycloak/callbackHandler.ts#L35
Untrusted user input in redirect() can result in Open Redirect vulnerability (CWE-601),MEDIUM,FIXED,2026-06-29,29,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts#L34,TypeScript,NodeJS Scan,-,backend/src/routes/auth/authKeycloak/callbackHandler.ts#L34
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,FIXED,2026-06-05,53,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/helpers/renderDownloadPage.ts#L26,-,Semgrep,-,backend/src/helpers/renderDownloadPage.ts#L26
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,FIXED,2026-06-05,53,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/routes/emails/sendEmail.ts#L47,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L47
Untrusted user input in redirect() can result in Open Redirect vulnerability (CWE-601),MEDIUM,FIXED,2026-06-04,54,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts#L12,TypeScript,NodeJS Scan,-,backend/src/routes/auth/authKeycloak/callbackHandler.ts#L12
User controlled data in a HTML string may result in XSS (CWE-79),MEDIUM,FIXED,2026-07-04,24,User controlled data in a HTML string may result in XSS,CWE-79,src/helpers/tableExports/pointsPlansTableExport.ts#L11,TypeScript,Semgrep,-,src/helpers/tableExports/pointsPlansTableExport.ts#L11
NPM dependency react-router-dom contains 1 vulnerability (CWE-601),MEDIUM,RAW,2026-07-27,1,NPM dependency react-router-dom contains 1 vulnerability,CWE-601,package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-53668 (6.9) 
For further details, please visit Sigrid's Open Source Health page.",package-lock.json#L1
User controlled data in a HTML string may result in XSS (CWE-79),MEDIUM,FIXED,2026-07-13,15,User controlled data in a HTML string may result in XSS,CWE-79,src/helpers/tableExports/pointsPlansTableExport.ts#L18,TypeScript,Semgrep,-,src/helpers/tableExports/pointsPlansTableExport.ts#L18
User controlled data in a HTML string may result in XSS (CWE-79),MEDIUM,FIXED,2026-07-17,11,User controlled data in a HTML string may result in XSS,CWE-79,src/helpers/tableExports/csvExport.ts#L20,TypeScript,Semgrep,-,src/helpers/tableExports/csvExport.ts#L20
User data flows into the host portion of this manually-constructed HTML (CWE-79),MEDIUM,FIXED,2026-06-05,53,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts#L165,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L165
User data flows into the host portion of this manually-constructed HTML (CWE-79),MEDIUM,FIXED,2026-06-05,53,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts#L167,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L167
User data flows into the host portion of this manually-constructed HTML (CWE-79),MEDIUM,FIXED,2026-06-05,53,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts#L163,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L163
User controlled data in a HTML string may result in XSS (CWE-79),MEDIUM,FIXED,2026-07-14,14,User controlled data in a HTML string may result in XSS,CWE-79,src/helpers/tableExports/pointsPlansTableExport.ts#L18,TypeScript,Semgrep,-,src/helpers/tableExports/pointsPlansTableExport.ts#L18
User controlled data in a HTML string may result in XSS (CWE-79),MEDIUM,FIXED,2026-07-18,10,User controlled data in a HTML string may result in XSS,CWE-79,src/helpers/tableExports/csvExportCore.ts#L24,TypeScript,Semgrep,-,src/helpers/tableExports/csvExportCore.ts#L24
User data flows into the host portion of this manually-constructed HTML (CWE-79),MEDIUM,FIXED,2026-06-05,53,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts#L169,TypeScript,Semgrep,-,backend/src/routes/emails/sendEmail.ts#L169
